Cycle,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area,Y
1,2012.9,32,84.88,10,24.98298,121.54024,37.9,Invest
2,2012.9,20,306.59,9,24.98034,121.53951,42.2,Not Invest
3,2013.6,13,561.98,5,24.98746,121.54391,47.3,Not Invest
4,2013.5,13,561.98,5,24.98746,121.54391,54.8,Not Invest
5,2012.8,5,390.57,5,24.97937,121.54245,43.1,Not Invest
6,2012.7,7,2175.03,3,24.96305,121.51254,32.1,Invest
7,2012.7,35,623.47,7,24.97933,121.53642,40.3,Not Invest
8,2013.4,20,287.6,6,24.98042,121.54228,46.7,Not Invest
9,2013.5,32,5512.04,1,24.95095,121.48458,18.8,Invest
10,2013.4,18,1783.18,3,24.96731,121.51486,22.1,Invest
11,2013.1,35,405.21,1,24.97349,121.53372,41.4,Not Invest
12,2013.3,6,90.46,9,24.97433,121.5431,58.1,Not Invest
13,2012.9,13,492.23,5,24.96515,121.53737,39.3,Not Invest
14,2012.7,20,2469.65,4,24.96108,121.51046,23.8,Invest
15,2013.5,13,1164.84,4,24.99156,121.53406,34.3,Invest
16,2013.6,36,579.21,2,24.9824,121.54619,50.5,Not Invest
17,2013.3,0,293,6,24.97744,121.54458,70.1,Not Invest
18,2012.8,18,350.85,1,24.97544,121.53119,37.4,Invest
19,2013.4,17,368.14,8,24.9675,121.54451,42.3,Not Invest
20,2012.7,2,23.38,7,24.96772,121.54102,47.7,Not Invest
21,2013.4,5,2275.88,3,24.96314,121.51151,29.3,Invest
22,2013.4,11,279.17,7,24.97528,121.54541,51.6,Not Invest
23,2012.9,15,1360.14,1,24.95204,121.54842,24.6,Invest
24,2013.1,10,279.17,7,24.97528,121.54541,47.9,Not Invest
25,2013,40,480.7,4,24.97353,121.53885,38.8,Not Invest
26,2013.1,29,1487.87,2,24.97542,121.51726,27,Invest
27,2012.7,3,383.86,5,24.98085,121.54391,56.2,Not Invest
28,2013.3,10,276.45,5,24.95593,121.53913,33.6,Invest
29,2013.5,19,557.48,4,24.97419,121.53797,47,Not Invest
30,2013.1,7,451.24,5,24.97563,121.54694,57.1,Not Invest
31,2013.5,26,4519.69,0,24.94826,121.49587,22.1,Invest
32,2012.8,30,769.4,7,24.98281,121.53408,25,Invest
33,2012.8,38,488.57,1,24.97349,121.53451,34.2,Invest
34,2013.3,17,323.66,6,24.97841,121.54281,49.3,Not Invest
35,2012.8,15,205.37,7,24.98419,121.54243,55.1,Not Invest
36,2013.5,14,4079.42,0,25.01459,121.51816,27.3,Invest
37,2012.9,15,1935.01,2,24.96386,121.51458,22.9,Invest
38,2013.2,12,1360.14,1,24.95204,121.54842,25.3,Invest
39,2012.7,3,577.96,6,24.97201,121.54722,47.7,Not Invest
